Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
 7 Dec 18,10 Dec 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,24072208,Sleeveless Top,United States,United States,NY,paid,1,29.63,23.33,6.30
 5 Dec 18,12 Dec 18,"""Joan of Arc""- Albert Lynch",24005180,Scarf,United Kingdom,France,GES,paid,2,51.24,42.40,8.84
 3 Dec 18, 6 Dec 18,"""Portrait of the Duchess Le Salle"" - Tamara de Lempicka",23874142,Greeting Card,United Kingdom,United Kingdom,SCOTLAND,paid,1,1.31,1.07,0.24
30 Nov 18,30 Nov 18,A Queen Is Not Afraid To Fail,23786350,Poster,United States,United States,LA,paid,1,18.53,14.59,3.94
28 Nov 18,30 Nov 18,"Hello, My Dumpling",23741664,Throw Pillow,United States,United States,MD,paid,1,23.34,18.66,4.68
28 Nov 18,29 Nov 18,Judith and Her Servant - Artemisia Gentileschi,23724727,Poster,United States,United States,OK,paid,1,23.67,19.03,4.64
27 Nov 18, 1 Dec 18,"""Joan of Arc""- Albert Lynch",23681698,Scarf,Australia,Australia,NSW,paid,1,19.50,15.89,3.61
27 Nov 18, 3 Dec 18,"""Maid of Heaven""-Sir John Everett Millais",23634062,Photographic Print,United Kingdom,Romania,BUCHAREST,paid,1,22.69,18.52,4.17
26 Nov 18,30 Nov 18,"""Maid of Heaven""-Sir John Everett Millais",23620451,Sticker,United Kingdom,United Kingdom,ENGLAND,paid,1,1.60,1.29,0.31
21 Nov 18,23 Nov 18,"""Joan of Arc""- Albert Lynch",23381469,Tote Bag,United States,United States,SC,paid,1,21.74,17.44,4.30
20 Nov 18,21 Nov 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,23364079,Sleeveless Top,United States,United States,CA,paid,1,25.42,20.38,5.04
16 Nov 18,19 Nov 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,23288797,Sleeveless Top,United States,United States,TX,paid,1,29.63,23.33,6.30
15 Nov 18,16 Nov 18,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,23271844,Chiffon Top,United States,United States,IL,paid,1,29.63,23.33,6.30
